function_name,index_entry,rank
main,0x8003a30,table_gcc_lsda
bar_noexcept,0x8003a48,table_gcc_lsda
baz_noexcept,0x8003a50,table_gcc_lsda
qaz_noexcept,0x8003a58,table_gcc_lsda
bar,0x8003a60,table_personality
baz,0x8003a68,table_personality
qaz,0x8003a70,table_personality
noexcept_calls_all_noexcept,0x8003b20,inlined_noexcept
noexcept_calls_mixed_functions,0x8003b28,table_gcc_lsda
except_calls_all_noexcept,0x8003b30,inlined_noexcept
except_calls_mixed,0x8003b38,table_gcc_lsda
except_calls_except,0x8003b40,table_personality
noexcept_calls_except,0x8003b48,table_gcc_lsda
noexcept_calls_mixed_in_try_catch,0x8003b58,table_gcc_lsda
except_calls_except_in_try_catch,0x8003b60,table_gcc_lsda
noexcept_calls_except_in_try_catch,0x8003b68,table_gcc_lsda
except_calling_mixed_in_try_catch,0x8003b70,table_gcc_lsda
initialize,0x8003b78,inlined_noexcept
my_class::state_noexcept,0x0,no_entry
my_class::state,0x0,no_entry
dtor::non_trivial_dtor::action,0x8003a78,table_personality
dtor::non_trivial_dtor::noexcept_action,0x8003a80,inlined_noexcept
dtor::noexcept_calls_all_except,0x8003a88,table_gcc_lsda
dtor::noexcept_calls_all_noexcept,0x8003a90,inlined_noexcept
dtor::except_calls_all_except,0x8003a98,table_gcc_lsda
dtor::except_calls_all_noexcept,0x8003aa0,inlined_noexcept
dtor::noexcept_calls_experiment1,0x8003aa8,table_gcc_lsda
dtor::noexcept_calls_experiment2,0x8003ab0,table_gcc_lsda
dtor::noexcept_calls_experiment3,0x8003ab8,table_gcc_lsda
dtor::noexcept_calls_experiment4,0x8003ac0,table_gcc_lsda
dtor::noexcept_calls_experiment5,0x8003ac8,table_gcc_lsda
dtor::noexcept_calls_experiment6,0x8003ad0,table_gcc_lsda
dtor::noexcept_calls_experiment7,0x8003ad8,table_gcc_lsda
dtor::except_calls_experiment1,0x8003ae0,table_gcc_lsda
dtor::except_calls_experiment2,0x8003ae8,table_gcc_lsda
dtor::except_calls_experiment3,0x8003af0,table_gcc_lsda
dtor::except_calls_experiment4,0x8003af8,table_gcc_lsda
dtor::except_calls_experiment5,0x8003b00,table_gcc_lsda
dtor::except_calls_experiment6,0x8003b08,table_gcc_lsda
dtor::except_calls_experiment7,0x8003b10,table_gcc_lsda
